SURF.DAT        2.0             Header structure with coordinate parameters
   1                                                                       
Produced by SMERGE Version: 5.57  Level: 070627                            
NONE                                                                       
	2020	1	1	2020	121	0	9	2
		107
		108
2020	10	11
	0.1 1.5 270 62 1025.7 
	0.1 1.5 270 62 1025.7 
2020	10	12
	1.8 0.8 200 55 1024 
	1.8 0.8 200 55 1024 
2020	10	13
	2 3.2 320 53 1023.4 
	2 3.2 320 53 1023.4 
2020	10	14
	3 2.2 290 44 1022.3 
	3 2.2 290 44 1022.3 
2020	10	15
	3.8 2.9 270 43 1022.4 
	3.8 2.9 270 43 1022.4 
2020	10	16
	3.7 2.2 320 41 1022.2 
	3.7 2.2 320 41 1022.2 
2020	10	17
	2.7 2.8 290 40 1022.6 
	2.7 2.8 290 40 1022.6 
2020	10	18
	1.8 2.6 290 45 1023 
	1.8 2.6 290 45 1023 
2020	10	19
	1 2.8 290 59 1022.9 
	1 2.8 290 59 1022.9 
2020	10	20
	0.5 1.6 290 63 1022.6 
	0.5 1.6 290 63 1022.6 
2020	10	21
	-0.2 1.4 320 62 1022.6 
	-0.2 1.4 320 62 1022.6 
2020	10	22
	-0.3 2.2 290 62 1022.9 
	-0.3 2.2 290 62 1022.9 
2020	10	23
	-0.9 1.4 270 61 1022.7 
	-0.9 1.4 270 61 1022.7 
2020	11	0
	-1.1 1.5 270 66 1022.3 
	-1.1 1.5 270 66 1022.3 
2020	11	1
	-1.5 0.6 270 68 1022.2 
	-1.5 0.6 270 68 1022.2 
2020	11	2
	-1.7 0.7 290 75 1022 
	-1.7 0.7 290 75 1022 
2020	11	3
	-1.8 1.1 50 71 1021.9 
	-1.8 1.1 50 71 1021.9 
2020	11	4
	-2.2 1.4 20 75 1021.4 
	-2.2 1.4 20 75 1021.4 
2020	11	5
	-2 0.4 0 72 1021.4 
	-2 0.4 0 72 1021.4 
2020	11	6
	-1.8 0.8 360 73 1021.5 
	-1.8 0.8 360 73 1021.5 
2020	11	7
	-2 0.6 320 78 1021.5 
	-2 0.6 320 78 1021.5 
2020	11	8
	-2.5 1.6 20 81 1021.5 
	-2.5 1.6 20 81 1021.5 
2020	11	9
	-2.4 1.1 20 77 1022.2 
	-2.4 1.1 20 77 1022.2 
2020	11	10
	-1 0.1 0 70 1022.6 
	-1 0.1 0 70 1022.6 
2020	11	11
	1.5 1.5 290 60 1022.1 
	1.5 1.5 290 60 1022.1 
2020	11	12
	2.6 1.1 290 52 1020.9 
	2.6 1.1 290 52 1020.9 
2020	11	13
	3.5 2.7 250 44 1020 
	3.5 2.7 250 44 1020 
2020	11	14
	3.4 3.1 320 40 1019.3 
	3.4 3.1 320 40 1019.3 
2020	11	15
	3.1 3.2 320 41 1018.9 
	3.1 3.2 320 41 1018.9 
2020	11	16
	3.6 3 290 45 1018.8 
	3.6 3 290 45 1018.8 
2020	11	17
	2.3 2.9 320 51 1018.5 
	2.3 2.9 320 51 1018.5 
2020	11	18
	1.1 2.9 320 52 1019 
	1.1 2.9 320 52 1019 
2020	11	19
	0.2 1.4 340 53 1019.1 
	0.2 1.4 340 53 1019.1 
2020	11	20
	0 4.6 340 54 1019 
	0 4.6 340 54 1019 
2020	11	21
	-0.3 3.1 340 54 1018.8 
	-0.3 3.1 340 54 1018.8 
2020	11	22
	-0.7 2.7 270 60 1018.8 
	-0.7 2.7 270 60 1018.8 
2020	11	23
	-1.1 1.9 290 64 1019.1 
	-1.1 1.9 290 64 1019.1 
2020	12	0
	-1.4 2.4 270 67 1018.8 
	-1.4 2.4 270 67 1018.8 
2020	12	1
	-1.5 2.6 270 66 1018.6 
	-1.5 2.6 270 66 1018.6 
2020	12	2
	-1.7 2.5 290 67 1018.5 
	-1.7 2.5 290 67 1018.5 
2020	12	3
	-1.9 1.4 360 67 1018.2 
	-1.9 1.4 360 67 1018.2 
2020	12	4
	-2.3 2.1 290 73 1017.8 
	-2.3 2.1 290 73 1017.8 
2020	12	5
	-2.8 1 340 75 1017.5 
	-2.8 1 340 75 1017.5 
2020	12	6
	-3.1 1.8 340 72 1017.6 
	-3.1 1.8 340 72 1017.6 
2020	12	7
	-3.3 1.5 290 70 1018 
	-3.3 1.5 290 70 1018 
2020	12	8
	-3.3 1.7 290 71 1018 
	-3.3 1.7 290 71 1018 
2020	12	9
	-3 2.2 320 70 1018.5 
	-3 2.2 320 70 1018.5 
2020	12	10
	-2 1.7 320 63 1019.2 
	-2 1.7 320 63 1019.2 
2020	12	11
	-0.7 2.3 320 57 1019 
	-0.7 2.3 320 57 1019 
2020	12	12
	0.4 3.6 270 47 1018.2 
	0.4 3.6 270 47 1018.2 
2020	12	13
	1.3 3 290 41 1017.5 
	1.3 3 290 41 1017.5 
2020	12	14
	1.9 3.9 290 41 1016.9 
	1.9 3.9 290 41 1016.9 
2020	12	15
	2.4 3 290 41 1016.8 
	2.4 3 290 41 1016.8 
2020	12	16
	2.5 2.8 290 43 1017 
	2.5 2.8 290 43 1017 
2020	12	17
	1.1 3.2 290 53 1017.5 
	1.1 3.2 290 53 1017.5 
2020	12	18
	0 3.4 270 60 1017.7 
	0 3.4 270 60 1017.7 
2020	12	19
	-0.4 2.7 270 62 1018.2 
	-0.4 2.7 270 62 1018.2 
2020	12	20
	-0.9 1.9 290 62 1018.6 
	-0.9 1.9 290 62 1018.6 
2020	12	21
	-0.9 2.8 270 62 1019.4 
	-0.9 2.8 270 62 1019.4 
2020	12	22
	-1.4 3 270 64 1020.1 
	-1.4 3 270 64 1020.1 
2020	12	23
	-1.9 2.3 290 73 1020.3 
	-1.9 2.3 290 73 1020.3 
2020	13	0
	-2 2.7 270 73 1020.6 
	-2 2.7 270 73 1020.6 
2020	13	1
	-2.4 2 290 72 1020.1 
	-2.4 2 290 72 1020.1 
2020	13	2
	-3.2 1.6 320 73 1020.4 
	-3.2 1.6 320 73 1020.4 
2020	13	3
	-3.9 0.7 320 72 1021 
	-3.9 0.7 320 72 1021 
2020	13	4
	-4.2 0.9 360 72 1020.8 
	-4.2 0.9 360 72 1020.8 
2020	13	5
	-4.4 0.7 340 73 1021 
	-4.4 0.7 340 73 1021 
2020	13	6
	-4.6 1.1 290 75 1021.3 
	-4.6 1.1 290 75 1021.3 
2020	13	7
	-4.3 1.9 270 71 1021.8 
	-4.3 1.9 270 71 1021.8 
2020	13	8
	-3.9 3.1 270 71 1022.4 
	-3.9 3.1 270 71 1022.4 
2020	13	9
	-3.9 3.7 290 66 1023.2 
	-3.9 3.7 290 66 1023.2 
2020	13	10
	-3 2.8 290 55 1023.7 
	-3 2.8 290 55 1023.7 
2020	13	11
	-2.2 2.9 340 54 1024 
	-2.2 2.9 340 54 1024 
2020	13	12
	-1.5 3.4 320 45 1023.6 
	-1.5 3.4 320 45 1023.6 
2020	13	13
	-0.7 2.8 320 37 1022.9 
	-0.7 2.8 320 37 1022.9 
2020	13	14
	-0.2 4.5 270 34 1023.2 
	-0.2 4.5 270 34 1023.2 
2020	13	15
	-0.4 4.3 320 33 1023.4 
	-0.4 4.3 320 33 1023.4 
2020	13	16
	0 3.2 290 30 1023.4 
	0 3.2 290 30 1023.4 
2020	13	17
	-0.9 3.4 320 30 1023.4 
	-0.9 3.4 320 30 1023.4 
2020	13	18
	-1.9 2.4 270 34 1023.8 
	-1.9 2.4 270 34 1023.8 
2020	13	19
	-2.3 2.7 270 38 1024.9 
	-2.3 2.7 270 38 1024.9 
2020	13	20
	-2.8 1.7 290 38 1025.1 
	-2.8 1.7 290 38 1025.1 
2020	13	21
	-3 1.9 360 37 1025.2 
